SolutionFound,Evaluations,Fitness,CrossoverProbability,MutationProbability(MutantGenes/GeneNumber),GeneNumber,DeviationFromOptimum(%),ExecutionNumber
true,50179,512.0,0.8,0.001953125,512,0.0,0
true,47919,512.0,0.8,0.001953125,512,0.0,1
true,48847,512.0,0.8,0.001953125,512,0.0,2
true,46606,512.0,0.8,0.001953125,512,0.0,3
true,47253,512.0,0.8,0.001953125,512,0.0,4
true,49881,512.0,0.8,0.001953125,512,0.0,5
true,50253,512.0,0.8,0.001953125,512,0.0,6
true,50213,512.0,0.8,0.001953125,512,0.0,7
true,49736,512.0,0.8,0.001953125,512,0.0,8
false,50512,510.0,0.8,0.001953125,512,0.390625,9
true,49861,512.0,0.8,0.001953125,512,0.0,10
true,48927,512.0,0.8,0.001953125,512,0.0,11
true,47747,512.0,0.8,0.001953125,512,0.0,12
true,47712,512.0,0.8,0.001953125,512,0.0,13
true,49880,512.0,0.8,0.001953125,512,0.0,14
true,48771,512.0,0.8,0.001953125,512,0.0,15
true,48306,512.0,0.8,0.001953125,512,0.0,16
true,46155,512.0,0.8,0.001953125,512,0.0,17
true,47424,512.0,0.8,0.001953125,512,0.0,18
true,46026,512.0,0.8,0.001953125,512,0.0,19
true,49503,512.0,0.8,0.001953125,512,0.0,20
false,50512,510.0,0.8,0.001953125,512,0.390625,21
true,49572,512.0,0.8,0.001953125,512,0.0,22
true,45848,512.0,0.8,0.001953125,512,0.0,23
true,49544,512.0,0.8,0.001953125,512,0.0,24
true,46338,512.0,0.8,0.001953125,512,0.0,25
true,48389,512.0,0.8,0.001953125,512,0.0,26
true,50131,512.0,0.8,0.001953125,512,0.0,27
false,50512,511.0,0.8,0.001953125,512,0.1953125,28
true,46818,512.0,0.8,0.001953125,512,0.0,29
true,43899,512.0,0.9,0.001953125,512,0.0,0
true,45824,512.0,0.9,0.001953125,512,0.0,1
true,46023,512.0,0.9,0.001953125,512,0.0,2
true,42591,512.0,0.9,0.001953125,512,0.0,3
true,45932,512.0,0.9,0.001953125,512,0.0,4
true,46547,512.0,0.9,0.001953125,512,0.0,5
true,44900,512.0,0.9,0.001953125,512,0.0,6
true,45974,512.0,0.9,0.001953125,512,0.0,7
true,46717,512.0,0.9,0.001953125,512,0.0,8
true,43902,512.0,0.9,0.001953125,512,0.0,9
true,43756,512.0,0.9,0.001953125,512,0.0,10
true,46549,512.0,0.9,0.001953125,512,0.0,11
true,47066,512.0,0.9,0.001953125,512,0.0,12
true,40901,512.0,0.9,0.001953125,512,0.0,13
true,45609,512.0,0.9,0.001953125,512,0.0,14
true,45776,512.0,0.9,0.001953125,512,0.0,15
true,45621,512.0,0.9,0.001953125,512,0.0,16
true,48033,512.0,0.9,0.001953125,512,0.0,17
true,46763,512.0,0.9,0.001953125,512,0.0,18
true,48253,512.0,0.9,0.001953125,512,0.0,19
true,47507,512.0,0.9,0.001953125,512,0.0,20
true,48991,512.0,0.9,0.001953125,512,0.0,21
true,46642,512.0,0.9,0.001953125,512,0.0,22
true,43814,512.0,0.9,0.001953125,512,0.0,23
true,39428,512.0,0.9,0.001953125,512,0.0,24
false,50512,511.0,0.9,0.001953125,512,0.1953125,25
true,44258,512.0,0.9,0.001953125,512,0.0,26
true,43314,512.0,0.9,0.001953125,512,0.0,27
true,45418,512.0,0.9,0.001953125,512,0.0,28
true,46709,512.0,0.9,0.001953125,512,0.0,29
false,50512,511.0,0.8,0.00390625,512,0.1953125,0
true,48545,512.0,0.8,0.00390625,512,0.0,1
false,50512,510.0,0.8,0.00390625,512,0.390625,2
false,50512,511.0,0.8,0.00390625,512,0.1953125,3
false,50512,511.0,0.8,0.00390625,512,0.1953125,4
false,50512,510.0,0.8,0.00390625,512,0.390625,5
false,50512,509.0,0.8,0.00390625,512,0.5859375,6
false,50512,509.0,0.8,0.00390625,512,0.5859375,7
false,50512,510.0,0.8,0.00390625,512,0.390625,8
false,50512,511.0,0.8,0.00390625,512,0.1953125,9
false,50512,509.0,0.8,0.00390625,512,0.5859375,10
false,50512,509.0,0.8,0.00390625,512,0.5859375,11
false,50512,509.0,0.8,0.00390625,512,0.5859375,12
false,50512,509.0,0.8,0.00390625,512,0.5859375,13
false,50512,508.0,0.8,0.00390625,512,0.78125,14
false,50512,511.0,0.8,0.00390625,512,0.1953125,15
false,50512,511.0,0.8,0.00390625,512,0.1953125,16
false,50512,510.0,0.8,0.00390625,512,0.390625,17
false,50512,508.0,0.8,0.00390625,512,0.78125,18
false,50512,511.0,0.8,0.00390625,512,0.1953125,19
false,50512,509.0,0.8,0.00390625,512,0.5859375,20
false,50512,509.0,0.8,0.00390625,512,0.5859375,21
true,49408,512.0,0.8,0.00390625,512,0.0,22
false,50512,511.0,0.8,0.00390625,512,0.1953125,23
false,50512,511.0,0.8,0.00390625,512,0.1953125,24
false,50512,510.0,0.8,0.00390625,512,0.390625,25
false,50512,509.0,0.8,0.00390625,512,0.5859375,26
false,50512,510.0,0.8,0.00390625,512,0.390625,27
false,50512,509.0,0.8,0.00390625,512,0.5859375,28
false,50512,509.0,0.8,0.00390625,512,0.5859375,29
false,50512,933.0,0.8,0.001953125,1024,8.88671875,0
false,50512,937.0,0.8,0.001953125,1024,8.49609375,1
false,50512,940.0,0.8,0.001953125,1024,8.203125,2
false,50512,941.0,0.8,0.001953125,1024,8.10546875,3
false,50512,938.0,0.8,0.001953125,1024,8.3984375,4
false,50512,941.0,0.8,0.001953125,1024,8.10546875,5
false,50512,949.0,0.8,0.001953125,1024,7.32421875,6
false,50512,937.0,0.8,0.001953125,1024,8.49609375,7
false,50512,936.0,0.8,0.001953125,1024,8.59375,8
false,50512,940.0,0.8,0.001953125,1024,8.203125,9
false,50512,944.0,0.8,0.001953125,1024,7.8125,10
false,50512,939.0,0.8,0.001953125,1024,8.30078125,11
false,50512,948.0,0.8,0.001953125,1024,7.421875,12
false,50512,930.0,0.8,0.001953125,1024,9.1796875,13
false,50512,939.0,0.8,0.001953125,1024,8.30078125,14
false,50512,942.0,0.8,0.001953125,1024,8.0078125,15
false,50512,932.0,0.8,0.001953125,1024,8.984375,16
false,50512,941.0,0.8,0.001953125,1024,8.10546875,17
false,50512,937.0,0.8,0.001953125,1024,8.49609375,18
false,50512,941.0,0.8,0.001953125,1024,8.10546875,19
false,50512,939.0,0.8,0.001953125,1024,8.30078125,20
false,50512,930.0,0.8,0.001953125,1024,9.1796875,21
false,50512,935.0,0.8,0.001953125,1024,8.69140625,22
false,50512,938.0,0.8,0.001953125,1024,8.3984375,23
false,50512,935.0,0.8,0.001953125,1024,8.69140625,24
false,50512,935.0,0.8,0.001953125,1024,8.69140625,25
false,50512,931.0,0.8,0.001953125,1024,9.08203125,26
false,50512,935.0,0.8,0.001953125,1024,8.69140625,27
false,50512,937.0,0.8,0.001953125,1024,8.49609375,28
false,50512,936.0,0.8,0.001953125,1024,8.59375,29
false,50512,945.0,0.9,0.001953125,1024,7.71484375,0
false,50512,951.0,0.9,0.001953125,1024,7.12890625,1
false,50512,955.0,0.9,0.001953125,1024,6.73828125,2
